N,Тип,Источник,Содержание сообщения,Оригинал сообщения,Дата,
1169,Комментарий к посту/репосту,Группа,"Ворон ворону глаз не выклюет,вот и весь наш вшивый закон.Мы-то уже доживаем,а вот за детей и внуков страшно.Как их будут ,,нагибать,, дальше наши властьимущие ублюдки.",2,22.05.2021 21:10:28,
1170,Комментарий к посту/репосту,Группа,"Ну у нас же самый гуманный суд в мире к убийцам и ворам на миллиарды рублей.А вот за мешок картохи,или за две шоколадки из магазина припояют по полной.Чему мы удивляется,уже давно нет справедливости в нашей стране.",2,22.05.2021 21:04:28,
1171,Комментарий к посту/репосту,Группа,"Ну им же нужна дешевая рабсила,а мы требуем достойную оплату своему труду,вот и тащат этих сюда.",0,22.05.2021 20:51:58,
1172,Комментарий к посту/репосту,Группа,"Ну создали и что ,наши чинуши и властьимущие и там будут охотится и строить свои домишки многомиллионные.Вот блин удивили.Создали ,защищайте от всяких и господ и браконьеров и ни кому спуску не давайте.",2,22.05.2021 20:44:01,
1173,Комментарий к посту/репосту,Пользователь,"Счастливые,греетесь.А у нас сегодня ночью было минус1 ,г Кемерово и ветер северный.Днём выше 10 не поднимается температура.",0,20.05.2021 07:36:23,
1174,Комментарий к посту/репосту,Группа,"Долго смотрела на эту плоскодонку с  сиськами до пупа и её задолбаным шпагатом,эта самка так и останется одна ни кому не нужная,она сама все для этого сделала.",0,15.05.2021 22:33:06,
1175,Комментарий к посту/репосту,Группа,"У меня так же один интернен вместо анестезии в дупло зуба,тупо положил просто вату.Убийство нерва не произошло,мучалась три дня.Потом когда  приехала в больницу,был очень ,,хороший разговор,,Слава богу вылечили.Теперь этих щенков к себе не подпускаю.Пусть сученыши на трупах получше учатся.",1,15.05.2021 22:26:48,
1176,Комментарий к посту/репосту,Группа,"Это не дети ,для этих ушлепков площадь и позорный столб.Этих тварей только так нужно лечить-позором.Что бы из дома не смогли выйти без тыканья пальцем,тогда может будут включать голову.А по мне таких уродов нужно уничтожать.",0,15.05.2021 22:12:55,
1177,Комментарий к посту/репосту,Группа,"Ой лучше промолчу,а то такого наговорю про наших церковников,могут и посадить за этих типа ''божьих людей,,.",5,15.05.2021 22:07:56,
1178,Комментарий к посту/репосту,Группа,Глядя на него уже не хочется это нечто слушать. А это чмо вообще кто.Прости господи какой-то мелкий татуированный ушлепок.,0,15.05.2021 22:04:22,
1179,Комментарий к посту/репосту,Группа,"Вроде была нормальная,нафиг это нужно было делать? А ну да,она же блогерша.Решила больше себе дебильных подписчиков привлечь,привлекла дура.Грех говорить ,но нисколько таких не жалко.Гробьте себя дураки ради лайков,а мы посмотрим во что вы превратилась.",0,15.05.2021 21:53:46,
1180,Комментарий к посту/репосту,Группа,"Мне легче жить не стало от певцов и певичек,а вот люди которые смотрят и ремонтируют наши магистрали,электроснабжение,теплосети и т д, и т. п ,вот от них мы зависим.",0,15.05.2021 21:47:36,
1181,Комментарий к посту/репосту,Группа,Хрень не пишите.Читать эту фигню уже не хочется.,0,15.05.2021 21:41:19,
1182,Комментарий к посту/репосту,Группа,"Хорошо,что умеет за себя постоять,а как его покормить?",0,15.05.2021 21:36:17,
1183,Комментарий к посту/репосту,Группа,"А при чем тут п.Пионер,у всех частные дома,если только ул. Урицкого.",0,15.05.2021 21:26:39,
1184,Комментарий к посту/репосту,Группа,"А почему их рожы не показываете? Боитесь,что люди самосуд устроят?Родители сказали,что они так мир по знают.Хотела бы я посмотреть,как они потом на своих предках начнут мир познавать,если последние этим ублюдкам чем-то не угодят.",0,13.05.2021 06:33:40,
1185,Комментарий к посту/репосту,Группа,А мой ярко-красный.,0,12.05.2021 22:48:43,
1186,Комментарий к посту/репосту,Группа,"Я передачу с этой идиоткой уже давно не смотрю и мне стыдно,что такая дура родом из нашего Кемерово.",0,11.05.2021 10:17:24,
1187,Комментарий к посту/репосту,Группа,"Какой прелестный ушастик!Нашему бандюгану в июле будет три года.А вот таких милых малышей давно не видела,а так хочется подержать на руках такое маленькое чудо.",0,11.05.2021 10:05:38,
1188,Комментарий к посту/репосту,Группа,"Вот пусть все чинуши бегают с сочками и бегают по полям и собирают семена одуванчика,осота и других сорных трав,которые разносятся ветром,что бы они не летели на наши участки.",0,11.05.2021 10:01:14,
1189,Комментарий к посту/репосту,Группа,"Ого,эта пъянь ещё и размножатся может.Перестала этого чела уважать после того,как его пригласили на свадьбу,а он во время танца молодых выебнулся и ушол со сцены,хотя ему были заплачены хорошие деньги.По телику это показывали.Зажрались наши шуты,пора на грешную землю опускать,а то сильно высоко сами себя вознесли.",0,11.05.2021 09:37:45,
1190,Комментарий к посту/репосту,Группа,"Ну все писец,все наши звездуны резко начали смертельно болеть и так же резко выздоравливать .У них у всех что,эпидемия хайпа началась,или восполнение хитрости? Все блин болеют,а чем походу и сами не знают.Пиар,один пиар.",0,11.05.2021 09:21:56,
1191,Комментарий к посту/репосту,Группа,"Мне вот лично пофиг на звёздных отпрысков.И некоторые звезды тоже уже достали.Не смотрю и не слушаю.Шуты,они и в Африке шуты.",0,11.05.2021 08:28:33,
1192,Комментарий к посту/репосту,Группа,Это старое чучело хочет? А хочет ли наш президент?,0,11.05.2021 08:26:20,
1193,Комментарий к посту/репосту,Группа,"Юля правильно написала,красиво,но ни кому не нужно.Навязала воротников и ни один не продала,нафик не кому это не нужно.Так же и с бисерными цветами,подходят ахают и на этом все.",0,11.05.2021 08:23:33,
1194,Комментарий к посту/репосту,Группа,"А если в роду все такие,так,что сдохнуть нужно на тренажёре,что бы похудеть? Есть люди от природы худые,есть полные и зачем издеваться над собой,что бы понравится какому-то угоду.",0,11.05.2021 08:17:48,
1195,Комментарий к посту/репосту,Группа,Хорошуля!,0,11.05.2021 08:05:58,
1196,Комментарий к посту/репосту,Группа,"Хозяин ,куда ты гонишь?",0,11.05.2021 08:01:43,
1197,Комментарий к посту/репосту,Группа,"Мамочки,хватит растить доченек захребетниц для будущего мужа и свекрухи.Не шить ,не вышивать ,даже носки заштопать не могут.Народят ребеночка и начинают умирать,как они устали.И все им должны .Своих доченек научите жить как жена и мама.А то спихнут после свадьбы на мужика и свёкра со свекрухой,и ещё приходят и скулят -доченьку не ублажают,вся она такая бедная и несчастная.",0,11.05.2021 08:00:19,
1198,Комментарий к посту/репосту,Группа,У нас на 9 и 10 было минус четыре,0,10.05.2021 20:31:58,
1199,Комментарий к посту/репосту,Группа,"А почему никто не пишет как Путин после нашего гимна около вечного огня чуть не ушол и забыл ,что ещё должен играть гимн его гостя? Мы офанорели видя это.Вот вам отношение к призиденту другой страны.А что говорить о нас.Мы для этой власти ничто.Написала и думаю,смогут мои комментарии другие прочитать ,или сразу удаляют?Я же такую крамолу написала против власти.",2,10.05.2021 20:21:58,
1200,Комментарий к посту/репосту,Группа,"Какие ухи ,просто прелесть!",0,10.05.2021 20:12:13,
1201,Комментарий к посту/репосту,Группа,"По христианскому обычаю,тело должно быть предано земле,а наши предки русичи сжигали тела.А мы идиоты будем оплачивать это непонятно уже что своими копейками.Лучше бы больным ребятишкам отдали эти деньги на лечение.Но у нас правитель обалденный,он всем помешает,кроме своего народа.Кинул подачку вместе с мишустиным,ждите новых налогов.",2,10.05.2021 20:10:22,
1202,Комментарий к посту/репосту,Группа,А нахрена нам нужно знать про этого хохла?У нас своих неадекватов хватает.,0,10.05.2021 20:02:55,
1203,Комментарий к посту/репосту,Группа,"Я бы всех едросов к стенке поставила. Все суки угробили и разрушили.Нет ни одного нового завода и фабрик нет.Сколько у нас в Кемерово этого было,сейчас только цевиль ТЦ строит.Пригнали это чудо вместо Тулеева.Его бабса уже медальку заслужила,а люди здесь жившие и работавшие всю жизнь для Кузбасса ,нехрена не получили.Спасибо нашим едросам,чтоб земля им пухом была.",2,10.05.2021 19:59:50,
1204,Комментарий к посту/репосту,Группа,"Дебил,больше нет слов для этого оно.",0,10.05.2021 19:40:37,
1205,Комментарий к посту/репосту,Группа,"Соседи ваши ненормальные и гости такие же.У нас поневоле завелся почти такой же оборот,ласковый ,задиристый лысик,обожаем его ,хотя ещё дома четыре шерстистый подбирашки.Все любимки,но иногда приходится показывать кто в доме хозяин,а то сядут на шею.Одна большая вещь,нет ни мышей, ни крыс,держим кур и кроликов.",0,10.05.2021 19:36:45,
1206,Комментарий к посту/репосту,Группа,"Я чего то не поняла,тут же русский кокошники и византийский орнамент,как то не вяжется,или я плохо знаю историю?",0,10.05.2021 19:29:54,
1207,Комментарий к посту/репосту,Группа,"Это что же за такое,у тебя столько бывших? Как тогда тебя мадам назвать,что бы не обидеть?",0,10.05.2021 19:26:50,
1208,Комментарий к посту/репосту,Группа,"А кто будет отвечать за одуванчика,которые растут на полях? Из за них семена летят на огороды.Дожила до старости ,но такой маразм слышу первый раз.У нас у власти точно одни дебилы.",0,10.05.2021 14:10:28,
1209,Комментарий к посту/репосту,Группа,"А мне хочется пожелать этим тварям ,кто поджигает траву,что бы ваши дома и квартиры сгорели,домочатцам этих уродов желать горя не буду.У них и так горе-такие ушлепки рядом с ними живут.",0,10.05.2021 13:54:07,
1210,Комментарий к посту/репосту,Группа,"Шедеврально! Прекрасно! Красотища!Блин слова закончились,но все равно молодцы мастерицы!",0,10.05.2021 13:39:09,
1211,Комментарий к посту/репосту,Группа,"Ну писец,сначала бузиха в реанимации с воспалением хитрости,теперь этот тоже не пойми с чем,задолбали уже.Господа шуты ,слягте уже все разом,а мы пока от вас отдохнем.Достал уже этот приблядник,перестала этих смотреть и слушать,не стоит на них тратить своё время.",0,10.05.2021 13:36:19,
1212,Комментарий к посту/репосту,Группа,"Пока едросы у власти ,ничего хорошего не будет.",2,10.05.2021 13:26:12,
1213,Комментарий к посту/репосту,Группа,"Да пофиг как выглядит,судила бы по закону и уважение этому судье.",0,10.05.2021 13:23:51,
1214,Комментарий к посту/репосту,Группа,"И для чего это было снято? Малыш новорожденный ,на маму он сам залезть так не сможет.Снято ради лайков,но я этого делать не буду,не за что.",0,10.05.2021 13:18:08,
1215,Комментарий к посту/репосту,Группа,"Не знаю на сколько это правда,но к нам залезли питерские перевозчики и у нас наступит такая она,как и в Новокузнецке.Выживают эти ушлые питерцы наших перевозчиков.И так чёрт возми все наши доходы уходят в верха,скоро и работать суки не дадут .Спасибо цевелю.Специально пишу его фамилию с маленькой буквы,никчемный мужичек для нашего региона.Притащили его сюда,что бы нас обобрать до последней нитки.Хотя уже тащить уже и нечего.Обобрала Москва и её прихлебатели нас по полной.Дай бог этим сукам здоровья,в кавычках конечно.",2,10.05.2021 13:12:16,
1216,Комментарий к посту/репосту,Группа,"Мишка,да зашибись делишки!После твоего визита пойдём менять штанишки.",0,08.05.2021 21:03:45,
1217,Комментарий к посту/репосту,Группа,"И по ходу ,тех кто за собой не хочет убирать становится все больше и больше.Скоро будет не страна,а большая свалка.",0,08.05.2021 20:41:43,
1218,Комментарий к посту/репосту,Группа,"Их сначала надо почти всех заставить переучится.А то как некоторые врачи лечат,боишься в больницу идти.",1,08.05.2021 16:56:28,
1219,Комментарий к посту/репосту,Группа,"Надо уже таких ушлепков вместе с родителями,прилюдно пороть розгами на площади.",0,08.05.2021 16:52:33,
1220,Комментарий к посту/репосту,Группа,"Ох они и разрастаются,не знаю куда уже рассаживать.",0,30.04.2021 07:53:00,
1221,Комментарий к посту/репосту,Группа,"Стали забывать этого мультика-пультика,ан нет нарисовался,хрен сотрешь.",0,28.04.2021 21:54:11,
1222,Комментарий к посту/репосту,Группа,Зачем роняли ? Надобыло там и пристрелить этих мразей.,0,28.04.2021 21:16:27,
1223,Комментарий к посту/репосту,Группа,"Павлин расфуфыренный,смешно смотреть.",0,27.04.2021 09:39:58,
1224,Комментарий к посту/репосту,Группа,"Дрыном по заднице хорошо отходить,вся дурь и выйдет.Нравься себе такой какая есть и нехрен слушать каких то уродов.",0,27.04.2021 09:20:19,
1225,Комментарий к посту/репосту,Группа,"Алимнеты делятся на всех детей.Естественно,появился новый малыш,значит другие будут меньше получать.А этой широко ротой все мало.Другим бы женщинам такие алименты как у неё,они бы были довольны.Зажралась .",0,27.04.2021 09:15:11,
1226,Комментарий к посту/репосту,Группа,"Господи,ну надо было такой уродится.Хочется лошадью назвать,но эти животинки намного красивее этой мадам.",0,27.04.2021 08:44:35,
1227,Комментарий к посту/репосту,Группа,"По какому закону? Намертво привязать к дереву,пусть сука скулит,пока не сдохнет.Людишки самые ужасные твари,не все конечно.",0,27.04.2021 08:41:40,
1228,Комментарий к посту/репосту,Группа,"А что у дедов мозга нет,они не могут своим внукам объяснить,что животных мучить нельзя.Мои  прекрасно понимают ,как нужно с животинками обращается.А если не понимают ,то я делаю так же с ними.Хороший урок.",0,27.04.2021 08:38:51,
1229,Комментарий к посту/репосту,Группа,"Специально поджигают.Ладно ребятня поджигает,так нет взрослые мужики специально идут и горящие спички раскидывают.Сколько раз видела,а сделать ничего не могу.Оставалось одно ,после этих уродов тушить .Две метёлки уже угробила.Грех так говорить,но чтоб эти ушлепки сами сгорели.",0,27.04.2021 08:34:51,
1230,Комментарий к посту/репосту,Группа,"Вот поэтому и ненавижу людишек,хотя сама к ним принадлежу.Сколько было за нашу жизнь подбирашек,не упомнить и все доживали до старости и уходили на радугу.На данный момент живёт песик Васек,забрала маленьким из коробки около почты,ему уже шесть лет.Муж привёз маленькую Весту,нашли с напарником двух щенков ,в двух часах от города. Специально какая то сволчь так далеко их выкинула,что бы погибли.Но хорошо ,что мужики их подобрали.Они беспородные,но такие преданные.",0,26.04.2021 20:55:59,
1231,Комментарий к посту/репосту,Группа,"Когда мы в детстве притворялись,что у нас что-то болит,наш отец говорил ,,ихбинбольной тортик хочешь,,? Так же и этого чела нужно спросить,,на свободу хочешь,,?А там поговорим.Как страну обсирать ,здоровый был ,а как посадили ,занемог бедненький.",0,26.04.2021 15:52:52,
1232,Комментарий к посту/репосту,Группа,"Нашему бандюгану летом будет три года,не по моему хотению это чудо у нас появилось в двухмесячной возрасте.Зато сейчас этот лысик самый любимый,хотя ещё дома пять подбирашек живут.Но так хочется маленького лысика в руках подержать.",0,26.04.2021 15:46:10,
1233,Комментарий к посту/репосту,Группа,А потом котейку протирают от слизи?,0,26.04.2021 14:54:06,
1234,Комментарий к посту/репосту,Группа,"Терпеть не могу эти трупы цветов.Мои знакомые и родные дарят только луковицы цветов,зная,что у меня будет цвести эта красота,без срезки,на корню.",0,26.04.2021 14:35:40,
1235,Комментарий к посту/репосту,Группа,"У нас две подбирашки Веста и Вася,но мы его зовем Васек.",0,26.04.2021 14:30:21,
1236,Комментарий к посту/репосту,Группа,"Я порожаюсь бабами,именно не женщинами ,а бабами,видя какой это отморозок лезут за него замуж.Получат люлей-визжат.Вопрос-какой чёрт вас дурочек заставляет выходить замуж за таких козлов ?",0,26.04.2021 14:28:28,
1237,Комментарий к посту/репосту,Группа,"Шокировала конечно всех своим видом,но зато какой голос был.Нашим нынешним типа певичкам до её голоса ,как до луны.",0,26.04.2021 14:09:43,
1238,Комментарий к посту/репосту,Группа,"Ну этого татуированного увидели,а эта самка кто? И что нам должны быть интересны их обсоски?",0,26.04.2021 14:06:45,
1239,Комментарий к посту/репосту,Группа,"Весна пришла! Свадебный танец,не мешайте люди.",0,26.04.2021 14:04:28,
1240,Комментарий к посту/репосту,Группа,"Господа,вы о чем? Всю свою жизнь живу в п, пионер,30 мин. до города.Один только переезд ж.д.путей тупо задолбал,а нашим меняющимся властям пофиг.Опаздывают люди не только из нашего посёлка,но и из Ясногорска,Топок,и т, д ,все стоят на этом долбаном переезде.",0,26.04.2021 13:55:04,
1241,Комментарий к посту/репосту,Группа,"А для нас с младшем братом была шланга от Стир. машинки.Как только терпение мамы скончалось выслушивать наши вопли и споры,тогда этот чудесный кусок резины по нашим задницам сразу решал все проблемы.И ничего все живы и здоровы.Хоть уже и старые сами стали и родителей нет в живых,но вспоминая мамину шланга,ржом над нашими детскими проделками и удивляется терпению наших родителей.",0,26.04.2021 13:38:56,
1242,Комментарий к посту/репосту,Группа,А сама то Пугачиха сколько бездарей протащила на сцену?,0,25.04.2021 20:35:35,
1243,Комментарий к посту/репосту,Группа,"На эти чашечки кофе у нас столько,,нуждающихся,, найдутся,обалдеешь.Многие обеспеченные людишки очень любят халяву.",0,25.04.2021 20:28:26,
1244,Комментарий к посту/репосту,Группа,С какого перепуга он сам себя назначил королём?,0,25.04.2021 19:23:45,
1245,Комментарий к посту/репосту,Группа,"О господи ну и завывания ,у нас кот и то мелодичней орет,когда с кошками женихается.",0,19.04.2021 17:53:43,
1246,Комментарий к посту/репосту,Группа,Эту фигню ещё кто-то ест? За свою жизнь ни разу не покупала эту гадость и не собираюсь.,0,19.04.2021 09:29:13,
1247,Комментарий к посту/репосту,Группа,"Одна дама  сдесь написала,что ,,дворь даром не нужна,, ,а мы двух дворняг подобрали и ничуть не жалеем.",0,19.04.2021 08:51:11,
1248,Комментарий к посту/репосту,Группа,"Я бы бесплатно спихнула своё чудо,красное махровое.",0,19.04.2021 08:01:25,
1249,Комментарий к посту/репосту,Группа,Самое главное-мягко и вкусно!,0,18.04.2021 20:30:44,
1250,Комментарий к посту/репосту,Группа,"Царствие небесное этому человеку.Но молодец бабушка ,хорошо ,,нагнула,,пенсионный фонд,долго ей пенсию платили.Дай бог,что бы все пенсионеры так долго жили.Глядишь пенсионный фонд меньше бы растаскивали все кому не лень.А то пашеь,пашешь,у тебя туда отчисляют,а как получать пенсию,выходят копейки,а чинуши жируют и наши властьимущие тоже не бедствуют.",0,18.04.2021 20:27:53,
1251,Комментарий к посту/репосту,Группа,"Господи божемой,какая прелесть!",0,18.04.2021 20:21:25,
1252,Комментарий к посту/репосту,Группа,"Спишь,да,а я есть хочу,вставай!",0,18.04.2021 20:19:33,
1253,Комментарий к посту/репосту,Группа,"Господи,как хочется опять увидеть этих маленьких лысиков,а то нашему бандюгану летом будет три года,а так хочется подержать эти нежные комочки.",0,18.04.2021 20:18:17,
1254,Комментарий к посту/репосту,Группа,А если кошки ночью выталкивают с кровати? Я мазахистка?,0,18.04.2021 20:14:45,
1255,Комментарий к посту/репосту,Группа,У мелкого челюсти тоже хорошие.,0,18.04.2021 20:13:16,
1256,Комментарий к посту/репосту,Группа,"Оленька,вы правы.Бесплатно готовы забрать,а цены сейчас какие на все,волосы дыбом.Делают все возможное,что бы люди творчеством не занимались.",0,18.04.2021 20:10:24,
1257,Комментарий к посту/репосту,Группа,Обалденные сказки нам в уши от обалденных сказачнеков.,0,18.04.2021 19:50:26,
1258,Комментарий к посту/репосту,Группа,А я такую икону крестом вышла.,0,18.04.2021 19:46:50,
1259,Комментарий к посту/репосту,Группа,"Да походу кому-то земля приглянулась,вот и жгут.Но как говорят -на чужом несчастье своё счастье не построило.",0,18.04.2021 19:02:06,
1260,Комментарий к посту/репосту,Группа,"Дожили,вот почему я перестала туда ходить.Лучше в часовеньку зайти,а в храмах одно жулье в рясах.",5,18.04.2021 18:57:44,
1261,Комментарий к посту/репосту,Группа,"Прекрасны все! Вот бы научится,но походу старая,мозгов не хватит.Хотя вышиваю крестом,гладью,вяжу спицами и крючком,занимаюсь бисером.Только не покупают,охают,ахают и на этом все.",0,18.04.2021 18:53:47,
1262,Комментарий к посту/репосту,Группа,Сказал бы прямо - переходить на подножный корм.,0,18.04.2021 18:48:35,
1263,Комментарий к посту/репосту,Группа,"Чет я не понял? Выросту,петухом буду.Нафиг мне сейчас юбочка?",0,18.04.2021 18:29:42,
1264,Комментарий к посту/репосту,Группа,"А какого черта этот ушлепок опять вылез? Прибыла бы гаденыша своими руками,если бы мне за этого паганца ничего не было.Сидят сволочи на шее у народа и над ним же изгоняются.",2,18.04.2021 18:27:34,
1265,Комментарий к посту/репосту,Группа,Какая красота!!!,0,18.04.2021 18:22:08,
1266,Комментарий к посту/репосту,Группа,"Пусть выпендривается.Бузиха в своё время дохвалилась,ограбили.Сейчас помалкивает,не выставляет свои украшения на показ.И эта до выделывается.",0,18.04.2021 18:06:14,
1267,Комментарий к посту/репосту,Группа,"Поднять подняли,а вот разбудить не успели.",0,18.04.2021 17:52:12,
1268,Комментарий к посту/репосту,Группа,"Ну пипец,до тюряги был здоров,а как посадили стал ,,умирающего лебедя,, из себя строить.",0,18.04.2021 17:34:55,
1269,Комментарий к посту/репосту,Группа,"Извинитие,с причудами .",0,09.04.2021 13:36:31,
1270,Комментарий к посту/репосту,Группа,"На фото точно как наша Мара.Подобрала уже взрослой около магазина1 год и 4 мес. назад.Все с ней хорошо,но метит все как кот.У меня их 5 подбирашек,только эта с такими причалами.",0,09.04.2021 13:35:42,
1271,Комментарий к посту/репосту,Группа,"Вопрос,почему их морды не показывают? Пусть люди запоминают таких не людей.",0,09.04.2021 12:28:00,
1272,Комментарий к посту/репосту,Группа,А если соседская кошка каждый год ест огурцы на нашей грядке-это тоже порча имущества?,0,06.04.2021 06:34:16,
1273,Комментарий к посту/репосту,Группа,Платить достойные зарплаты и пенсии надо и нафиг ваши подачки не нужны будут.,0,30.03.2021 21:35:18,
1274,Комментарий к посту/репосту,Группа,Его тудаже в окно.Все заснять и что бы все посмотрели.Вот и будет ему слава.,0,25.03.2021 08:15:44,
1275,Комментарий к посту/репосту,Группа,"Как уже задолбали эти самопровозглашенные  цари,императрицы,золотые голоса,примадонна.Раньше их просто называли-шуты,которые весилили народ на площадях и потом носили шляпу по кругу.А сейчас вознесли сами себя до небес.",0,21.03.2021 08:48:35,
1276,Комментарий к посту/репосту,Группа,Этого дебила ещё не забыли?,0,21.03.2021 08:40:20,
1277,Комментарий к посту/репосту,Группа,Ь,0,21.03.2021 08:21:32,
1278,Комментарий к посту/репосту,Группа,И ювиналка не отобрала детей?,0,20.03.2021 21:13:05,
1279,Комментарий к посту/репосту,Группа,Господи какое маленькое чудо!,0,20.03.2021 20:45:31,
1280,Комментарий к посту/репосту,Группа,"Обожаю лысиков! Мой бандюган намылся в бане,сейчас дрыхнет в одеяле,высунув заднюю ногу для охлаждения.",0,20.03.2021 20:21:14,
1281,Комментарий к посту/репосту,Группа,"Ну писец полный,неизлечимая блин.Люди всю жизнь живут с этим и ничего не умерли.Что стали забывать? Решила так пропиарится,на своих болячках.",0,20.03.2021 19:43:41,
1282,Комментарий к посту/репосту,Группа,"А что их помнить ,у нас такой до сих пор есть.",0,20.03.2021 19:38:07,
1283,Комментарий к посту/репосту,Группа,"У нас их пять подбирашек,я для них авторитет,понимают сразу.Конечно бывает,что не слушаются,но очень редко.У нас с ними взаимопонимание,такое ощущение,что они понимают  все,очем с ними говоришь.",0,20.03.2021 19:34:15,
1284,Комментарий к посту/репосту,Группа,"Владимир,львы чужие убивают потомство предыдущего самца,если они одержали над ним верх,для того,что бы самки быстрей стали способны зачать .А если все в прайда нормально,ни один самец своих детенышей не убьет .А по этому видит видно,что они его просто достали.А в человеческих семьях так же,дети папу достали,он их отправляет к маме.",0,20.03.2021 19:08:22,
1285,Комментарий к посту/репосту,Группа,А я бы отбирала их машины.Вот за свои железки такие будут трястись.А штрафы таким уродам по барабану.,0,17.03.2021 06:46:08,
1286,Комментарий к посту/репосту,Группа,"А что сделали с этой мамашкой? Это только её вина,оставить животное в комнате где спит ребёнок,мозг включать надо.КОТ  обязательно полезно спать туда,где тепло.А малыши тёплые,вот он и залез к нему.",0,12.03.2021 22:39:45,
1287,Комментарий к посту/репосту,Группа,"Было описание,связала по нему.Получилась совершенно другая вещь.Глядя на фото и ,,поломав,, голову смогла связать так же.Так,что не по каждому описанию можно связать то,что указано на фото.",0,11.03.2021 23:25:55,
1288,Комментарий к посту/репосту,Группа,"Да нефига таким не будет.Что ,заставят деньги вернуть или кофискуют все? Не дождемся.Скорей всего домашний арест и условный срок.Наши суды умеют только простых людей закрывать по полной.",0,10.03.2021 08:57:18,
1289,Комментарий к посту/репосту,Группа,"Зачем судить.С этим ушлепком сделать тоже,что он сделал с собакой.И пусть гнида хромает до конца своей поганой жизни.",0,02.03.2021 23:44:40,
1290,Комментарий к посту/репосту,Группа,"Может я не права,но таких мамашек нужно принудительно заставлять платить алименты .Отказалась от малыша-плати.А то уходит муж из семьи ,он обязан платить,а таким вертихвосткам все с рук сходит.",0,01.03.2021 11:27:23,
1291,Комментарий к посту/репосту,Группа,"Эта гнида не сдохнет.Такие как он ни черту ,ни богу не нужны.",0,01.03.2021 10:57:13,
1292,Комментарий к посту/репосту,Группа,Не захотели для меня посадить мою травку? Тогда сгрызу ваши цветы.,0,01.03.2021 10:47:01,
1293,Комментарий к посту/репосту,Группа,"А что делать с теми хозяевами,которые на зиму отпускают своих шавок на свободный вынул? У нас по поселку стаями носятся и все с ошейниками.",0,01.03.2021 10:26:22,
1294,Комментарий к посту/репосту,Группа,На себя пусть посмотрит сначала.,0,25.02.2021 11:02:20,
1295,Комментарий к посту/репосту,Группа,"Зато зарубеж  и уголь и газ по дешевке идёт.А мы в Кузбассе на угле живём,а нам каждое лето на этот уголь цены поднимают.Удивили блин,скоро при свечах жить будем.",0,25.02.2021 10:56:29,
1296,Комментарий к посту/репосту,Группа,"Что б таку в старости даже стакан воды никто не подал,урод.",0,25.02.2021 10:32:47,
1297,Комментарий к посту/репосту,Группа,"Кирдык будет капусте,со всей округи соберутся коты и сравняют её с землёй.",0,24.02.2021 10:39:40,
1298,Комментарий к посту/репосту,Группа,Зачем таких уродов в тюрьму? Вывезти подальше в лес и на них самих охоту открыть.Пусть твари на своей шкуре испытают какого это быть добычей ради людского удовольствия.,0,18.02.2021 09:14:39,
1299,Комментарий к посту/репосту,Группа,"Все,больше на свою страничку ничего не скачиваю.В выходные поехала до купить бисер и обалдела от новых цен.Нет у меня таких денег,что бы угнаться за ценами.",0,14.02.2021 19:58:09,
1300,Комментарий к посту/репосту,Группа,Два цветка? Намёк на что?,0,14.02.2021 19:55:18,
1301,Комментарий к посту/репосту,Группа,"Ну на улице мы не спали с братом,а вот на веранду нас мама выносила и своего сына также выносила поспать,а вот с внучкой не получилось ,сноха не дала.Хотя в чем разница,ребёнок спит в коляске пока мама гуляет,или он спокойно дрыхнет на веранде.",0,14.02.2021 19:53:10,
1302,Комментарий к посту/репосту,Группа,"А они когда нибудь занимаются своим делом? Или они за пандемию так бедняжки устали,что наотдыхатся не могут.Две пустышки никчемные.Зато все поют,что у них денежки закончились.",0,14.02.2021 19:38:38,
